f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,label
0.0,0.0,0.0,0.0,0.38202247191011235,0.6179775280898876,0.0,15.0,0.028678156435489655,0.192877396941185,0.0015821600100025535,0.22416310012340546,0.04085132107138634,0.7497912645339966,0.6920783519744873,0.007006422150880098,0.0007934354362078011,7.296662829503475e-08,0.0014766971580684185,2.1893616576562636e-05,0.01672900654375553,0.01019077468663454,9.935888556356076e-07,135.35337829589844,89378.0546875,2308.3544921875,1635.126953125,4562.58837890625,280.0570373535156,393.0977783203125,-1
0.6885245901639344,0.0,0.3114754098360656,0.0,0.0,0.0,0.0,16.0,0.030984029173851013,0.7006072998046875,4.1671806684462354e-05,0.6820935606956482,0.16493330895900726,0.1321527063846588,0.11851177364587784,0.00489957258105278,0.008686978369951248,1.0822726048687059e-10,0.015623753890395164,0.0016439348692074418,0.0009149597608484328,0.0003630968276411295,1.2480976465667482e-06,41.354576110839844,949.1263427734375,121.68533325195312,77.46343994140625,57.63870620727539,170.39544677734375,188.85067749023438,-1
0.0,0.0,0.0,0.0,0.6612903225806451,0.3387096774193548,0.0,21.0,0.03803825005888939,0.3013877868652344,0.0019297263352200389,0.21293863654136658,0.03988872841000557,0.7029125094413757,0.5005486011505127,0.041115183383226395,0.00196866225451231,2.0174964276975516e-07,0.0022485351655632257,6.48570858174935e-05,0.019348012283444405,0.010409369133412838,4.914070450467989e-05,51.6986198425293,1182.7615966796875,187.361328125,78.41703033447266,155.19937133789062,191.60548400878906,228.62606811523438,-1
0.6885245901639344,0.0,0.3114754098360656,0.0,0.0,0.0,0.0,16.0,0.030984029173851013,0.7006072998046875,4.1671806684462354e-05,0.6820935606956482,0.16493330895900726,0.1321527063846588,0.11851177364587784,0.00489957258105278,0.008686978369951248,1.0822726048687059e-10,0.015623753890395164,0.0016439348692074418,0.0009149597608484328,0.0003630968276411295,1.2480976465667482e-06,41.354576110839844,949.1263427734375,121.68533325195312,77.46343994140625,57.63870620727539,170.39544677734375,188.85067749023438,-1
0.0,0.0,0.0,0.0,0.6612903225806451,0.3387096774193548,0.0,21.0,0.03803825005888939,0.3013877868652344,0.0019297263352200389,0.21293863654136658,0.03988872841000557,0.7029125094413757,0.5005486011505127,0.041115183383226395,0.00196866225451231,2.0174964276975516e-07,0.0022485351655632257,6.48570858174935e-05,0.019348012283444405,0.010409369133412838,4.914070450467989e-05,51.6986198425293,1182.7615966796875,187.361328125,78.41703033447266,155.19937133789062,191.60548400878906,228.62606811523438,-1
0.0,0.0,0.0,0.0,0.6612903225806451,0.3387096774193548,0.0,21.0,0.03803825005888939,0.3013877868652344,0.0019297263352200389,0.21293863654136658,0.03988872841000557,0.7029125094413757,0.5005486011505127,0.041115183383226395,0.00196866225451231,2.0174964276975516e-07,0.0022485351655632257,6.48570858174935e-05,0.019348012283444405,0.010409369133412838,4.914070450467989e-05,51.6986198425293,1182.7615966796875,187.361328125,78.41703033447266,155.19937133789062,191.60548400878906,228.62606811523438,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011935204267501831,0.36365050077438354,0.0002005422575166449,0.18681932985782623,0.00042278814362362027,0.04100659862160683,0.8652248978614807,0.013121841475367546,0.003077029250562191,1.2512026970057377e-09,0.0008759491029195487,4.183015711589633e-09,3.8087462598923594e-05,0.006904126610606909,6.220478098839521e-06,50.717872619628906,2847.0361328125,220.4120635986328,36.177433013916016,5.553156852722168,124.63882446289062,178.90074157714844,-1
0.22727272727272727,0.0,0.0,0.0,0.7727272727272727,0.0,0.0,2.0,0.03402655944228172,0.7326364517211914,2.165043497370789e-06,0.13989859819412231,0.002144760685041547,0.7150968909263611,0.19427362084388733,0.04165485128760338,0.029959965497255325,2.594332084229767e-13,0.001663750852458179,2.738289595072274e-07,0.019984379410743713,0.002245573792606592,9.897957352222875e-05,134.26876831054688,7555.228515625,334.8027038574219,2310.949462890625,527.1929321289062,300.3441467285156,404.55645751953125,-1
0.22727272727272727,0.0,0.0,0.0,0.7727272727272727,0.0,0.0,2.0,0.03402655944228172,0.7326364517211914,2.165043497370789e-06,0.13989859819412231,0.002144760685041547,0.7150968909263611,0.19427362084388733,0.04165485128760338,0.029959965497255325,2.594332084229767e-13,0.001663750852458179,2.738289595072274e-07,0.019984379410743713,0.002245573792606592,9.897957352222875e-05,134.26876831054688,7555.228515625,334.8027038574219,2310.949462890625,527.1929321289062,300.3441467285156,404.55645751953125,-1
0.5555555555555556,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,3.0,0.04774261638522148,0.5254642367362976,0.001756412209942937,0.2652585506439209,0.015758821740746498,0.2750151455402374,0.4742749333381653,0.011431766673922539,0.018555786460638046,2.751480678853113e-07,0.002167866565287113,2.2881125914864242e-05,0.004468830302357674,0.007007559295743704,1.1511972843436524e-05,331.1767578125,48743.71875,731.2750244140625,1038.9715576171875,6307.28955078125,184.7892303466797,322.288330078125,-1
